outer_fold,keyword_id,surface_form,include_core,include_main,include_extended,story_local_flag,train_df,validation_df,test_df,train_group_df,validation_group_df,test_group_df,eligible_1_1_1,eligible_10_3_3,eligible_20_5_5,eligible_group_1_1_1,eligible_group_10_3_3,eligible_group_20_5_5
0,lpw_7ff9df9923,作,false,false,false,false,5,0,6,5,0,3,false,false,false,false,false,false
0,lpw_c05f7cd6ed,飞机,false,false,false,true,7,0,3,7,0,3,false,false,false,false,false,false
0,lpw_f66de6c4cd,走,false,false,false,false,8,0,2,8,0,2,false,false,false,false,false,false
0,lpw_001d9c64f7,座,false,false,false,true,7,3,0,7,3,0,false,false,false,false,false,false
0,lpw_23e89ba0a1,变得,false,false,false,false,5,2,3,5,2,3,true,false,false,true,false,false
0,lpw_5b693ea232,并不,false,false,false,false,5,2,3,5,2,3,true,false,false,true,false,false
0,lpw_00a9d5bd97,道,false,false,false,false,5,2,3,3,2,3,true,false,false,true,false,false
0,lpw_be65bd5518,风,false,false,false,false,5,2,3,5,2,3,true,false,false,true,false,false
0,lpw_83eec76b39,还有,false,false,false,false,8,0,2,8,0,2,false,false,false,false,false,false
0,lpw_5f887419f4,孩子,false,false,false,true,4,4,2,4,4,2,true,false,false,true,false,false
0,lpw_f92f065aad,看不见,false,false,false,false,6,4,0,6,4,0,false,false,false,false,false,false
0,lpw_b4dcb3305a,们,false,false,false,false,7,1,2,6,1,2,true,false,false,true,false,false
0,lpw_642b100e13,你要,false,false,false,false,6,1,3,6,1,3,true,false,false,true,false,false
0,lpw_da153c5b45,却,false,false,false,false,6,1,3,6,1,3,true,false,false,true,false,false
0,lpw_1be968f125,书,false,false,false,false,7,3,0,7,3,0,false,false,false,false,false,false
0,lpw_63e84e56ed,说不定,false,false,false,false,8,1,1,8,1,1,true,false,false,true,false,false
0,lpw_2ed64c1d92,为了,false,false,false,false,9,0,1,9,0,1,false,false,false,false,false,false
0,lpw_5ebf3d1bfd,我把,false,false,false,false,6,2,2,6,2,2,true,false,false,true,false,false
0,lpw_6af7322be2,我没,false,false,false,false,5,2,3,5,2,3,true,false,false,true,false,false
0,lpw_a2f77db0e9,向,false,false,false,false,9,1,0,9,1,0,false,false,false,false,false,false
0,lpw_e6ad7a1dbc,以后,false,false,false,false,7,1,2,7,1,2,true,false,false,true,false,false
0,lpw_25eba59465,走了,false,false,false,false,8,0,2,8,0,2,false,false,false,false,false,false
1,lpw_8af2350cfd,的,true,true,true,false,417,59,120,415,59,120,true,true,true,true,true,true
1,lpw_b70bb4acc0,我,true,true,true,false,367,53,106,357,52,104,true,true,true,true,true,true
1,lpw_8b7b91e000,他,true,true,true,false,220,30,61,205,29,59,true,true,true,true,true,true
1,lpw_ccca744613,说,true,true,true,false,200,26,62,122,18,35,true,true,true,true,true,true
1,lpw_b2dd27e84f,了,true,true,true,false,183,26,53,182,26,53,true,true,true,true,true,true
1,lpw_a0c7716669,你,true,true,true,false,146,20,43,140,20,41,true,true,true,true,true,true
1,lpw_87f2a033cf,小王子,true,true,true,false,117,14,45,87,13,25,true,true,true,true,true,true
1,lpw_d409ab2ab3,这,true,true,true,false,118,17,36,115,17,33,true,true,true,true,true,true
1,lpw_b5141d3d19,是,true,true,true,false,101,14,28,97,14,28,true,true,true,true,true,true
1,lpw_2f9d9872e5,就,true,true,true,false,91,12,24,83,12,24,true,true,true,true,true,true
